name,address,description,Grantobiorca Kod pocztowy,Grantobiorca Miejscowość,Grantobiorca Nr budynku,Grantobiorca Ulica,Miejsce Realizacji Województwo,Nazwa,Wartość wsparcia,Powiat
Rozszerzenie działalności oraz prowadzenie nowych usług w firmie Pizza La Vita woj. Pomorskie - Region 1,POMORSKIE Gdynia Kazimierza Tetmajera 8 81-406,Nazwa: Pizza La Vita Mariusz Polender<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Kazimierza Tetmajera<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 81-406<br>Wartość wsparcia: 509679.45,81-406,Gdynia,8,Kazimierza Tetmajera,POMORSKIE,Pizza La Vita Mariusz Polender,509679.45,Gdynia
„Zwiększenie odporności przedsiębiorstwa TARIFA IT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ na sytuacje kryzysowe w wyniku dywersyfikacji oraz rozszerzenia prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Gdańsk Obrońców Westerplatte 23 80-317,Nazwa: TARIFA IT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Obrońców Westerplatte<br>Grantobiorca Nr budynku: 23<br>Grantobiorca Kod pocztowy: 80-317<br>Wartość wsparcia: 538581.23,80-317,Gdańsk,23,Obrońców Westerplatte,POMORSKIE,TARIFA IT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,538581.23,Gdansk
"Śpij Tam Gdzie Lubisz"" - Nowe Usługi Przedsiębiorstwa FHU ""ELDAN ENERGY"" Wiesław Puzdrowski ze Stężycy w woj. Pomorskim Polegająca na Uruchomieniu Mobilnych Noclegów w Ekologicznych Przyczepach Kempingowych",POMORSKIE Stężyca Świętopełka Wielkiego 26 83-322,"Nazwa: Firma Handlowo Usługowa ""ELDAN ENERGY"" Wiesław Puzdrowski<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Stężyca<br>Grantobiorca Ulica: Świętopełka Wielkiego<br>Grantobiorca Nr budynku: 26<br>Grantobiorca Kod pocztowy: 83-322<br>Wartość wsparcia: 363346.9",83-322,Stężyca,26,Świętopełka Wielkiego,POMORSKIE,"Firma Handlowo Usługowa ""ELDAN ENERGY"" Wiesław Puzdrowski",363346.9,Powiat kartuski
"Zwiększenie odporności przedsiębiorstwa PING PONG Rafał Brzoskowski, Yewei Quan Spółka Cywilna na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie)",POMORSKIE Gdańsk Juliusza Słowackiego 21 80-257,"Nazwa: PING PONG Rafał Brzoskowski, Yewei Quan Spółka Cywilna<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Juliusza Słowackiego<br>Grantobiorca Nr budynku: 21<br>Grantobiorca Kod pocztowy: 80-257<br>Wartość wsparcia: 148637.89",80-257,Gdańsk,21,Juliusza Słowackiego,POMORSKIE,"PING PONG Rafał Brzoskowski, Yewei Quan Spółka Cywilna",148637.89,Gdansk
"Inwestycja polegająca na uruchomieniu wypożyczalni jachtów żaglowych wraz ze strefą relaksu w Regionie 1 obejmującym województwa: kujawsko-pomorskie, pomorskie i zachodniopomorskie.",POMORSKIE Gdynia Nowodworcowa 3/4 81-581,Nazwa: MB Marcin Biliński<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Nowodworcowa<br>Grantobiorca Nr budynku: 3/4<br>Grantobiorca Kod pocztowy: 81-581<br>Wartość wsparcia: 540000,81-581,Gdynia,03-Apr,Nowodworcowa,POMORSKIE,MB Marcin Biliński,540000.0,Gdynia
Zwiększenie odporności przedsiębiorstwa USŁUGI REKREACYJNO-TURYSTYCZNE BACHUSEK BARBARA PEK na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Gdańsk 27A 80-298,Nazwa: USŁUGI REKREACYJNO-TURYSTYCZNE BACHUSEK BARBARA PEK<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 27A<br>Grantobiorca Kod pocztowy: 80-298<br>Wartość wsparcia: 539727.08,80-298,Gdańsk,27A,,POMORSKIE,USŁUGI REKREACYJNO-TURYSTYCZNE BACHUSEK BARBARA PEK,539727.08,Gdansk
"Dywersyfikacja o rozszerzenie działalności OSTRZYCE SPA Teresa Brylowska o nową ofertę usługową wraz z transformacją cyfrową i ekologiczną firmy, zmierzając do zwiększenia konkurencyjności i odporności na przyszłe kryzysy firmy w województwie pomorskim (Region 1)",POMORSKIE Ostrzyce Bukowa 4 83-314,Nazwa: OSTRZYCE SPA Teresa Brylowska<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Ostrzyce<br>Grantobiorca Ulica: Bukowa<br>Grantobiorca Nr budynku: 4<br>Grantobiorca Kod pocztowy: 83-314<br>Wartość wsparcia: 534245.12,83-314,Ostrzyce,4,Bukowa,POMORSKIE,OSTRZYCE SPA Teresa Brylowska,534245.12,Powiat kartuski
"Inwestycja polegająca na wprowadzeniu usługi wynajmu rowerów elektrycznych oraz uruchomieniu pralni dla gości noclegowych w Regionie 1 obejmującym województwa pomorskie, kujawsko-pomorskie, zachodniopomorskie.",POMORSKIE Gdynia Świętojańska 83a 81-839,"Nazwa: ""NAM-VIET"" EWA WOJTASIK-NGUYEN<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Świętojańska<br>Grantobiorca Nr budynku: 83a<br>Grantobiorca Kod pocztowy: 81-839<br>Wartość wsparcia: 152231.67",81-839,Gdynia,83a,Świętojańska,POMORSKIE,"""NAM-VIET"" EWA WOJTASIK-NGUYEN",152231.67,Sopot
Wprowadzenie nowej usługi i wzmocnienie na sytuacje kryzysowe firmy Oriental SPA dzięki zakupowi łodzi rekreacyjnej typu HouseBoat - Region 1,POMORSKIE Gdynia Stanisława Wyspiańskiego 7 81-435,Nazwa: ORIENTAL SPA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Stanisława Wyspiańskiego<br>Grantobiorca Nr budynku: 7<br>Grantobiorca Kod pocztowy: 81-435<br>Wartość wsparcia: 540000,81-435,Gdynia,7,Stanisława Wyspiańskiego,POMORSKIE,ORIENTAL SPA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,540000.0,Gdynia
"Zwiększenie odporności i dywersyfikacja działalności firmy Achprojekt Agata Zatorska na sytuacje kryzysowe, poprzez uruchomienie wielopoziomowych kursów brydża sportowego w modelu elearning od podstaw, opartych o innowacyjną metodę szkolenia, realizowanych i udostępnianych za pomocą interaktywnej platformy on-line.",POMORSKIE Gdańsk Stara Stocznia 4 80-862,Nazwa: Achprojekt Agata Zatorska<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Stara Stocznia<br>Grantobiorca Nr budynku: 4<br>Grantobiorca Kod pocztowy: 80-862<br>Wartość wsparcia: 455661,80-862,Gdańsk,4,Stara Stocznia,POMORSKIE,Achprojekt Agata Zatorska,455661.0,Gdansk
"Dywersyfikacja i rozszerzenie działalności Ośrodka Wczasowo – Rehabilitacyjnego „BAŁTYK” o nową ofertę usługową wraz z transformacją cyfrową i ekologiczną firmy, zmierzającą do zwiększającą konkurencyjność i odporność na przyszłe kryzysy firmy w województwie pomorskim (Region 1)",POMORSKIE Krynica Morska Tkaczy 11 82-120,"Nazwa: Halina Brzeska Ośrodek Rehabilitacyjny ""Bałtyk""<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Krynica Morska<br>Grantobiorca Ulica: Tkaczy<br>Grantobiorca Nr budynku: 11<br>Grantobiorca Kod pocztowy: 82-120<br>Wartość wsparcia: 324950.4",82-120,Krynica Morska,11,Tkaczy,POMORSKIE,"Halina Brzeska Ośrodek Rehabilitacyjny ""Bałtyk""",324950.4,Powiat nowodworski
Zwiększenie odporności na sytuacje kryzysowe poprzez wprowadzenie nowej usługi przez BYTÓW BROWAR KASZUBSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ z regionu 1: pomorskie w województwie pomorskim,POMORSKIE Bytów Szarych Szeregów 14 77-100,Nazwa: BYTÓW BROWAR KASZUBSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Bytów<br>Grantobiorca Ulica: Szarych Szeregów<br>Grantobiorca Nr budynku: 14<br>Grantobiorca Kod pocztowy: 77-100<br>Wartość wsparcia: 539906.4,77-100,Bytów,14,Szarych Szeregów,POMORSKIE,BYTÓW BROWAR KASZUBSKI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,539906.4,Powiat bytowski
"""Jadłostacja. Przystanek Zdrowie"" - wprowadzenie do oferty firmy Jadłostacja Arkadiusz Kotlicki nowej usługi - dieta pudełkowa. Region 1 - woj. pomorskie",POMORSKIE Tczew Jagiellońska 55c 83-110,Nazwa: JADŁOSTACJA ARKADIUSZ KOTLICKI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Tczew<br>Grantobiorca Ulica: Jagiellońska<br>Grantobiorca Nr budynku: 55c<br>Grantobiorca Kod pocztowy: 83-110<br>Wartość wsparcia: 215173.85,83-110,Tczew,55c,Jagiellońska,POMORSKIE,JADŁOSTACJA ARKADIUSZ KOTLICKI,215173.85,Powiat tczewski
Zrównoważony rozwój turystyki wodnej w Gdyni: Inwestycja w elektryczne łodzie rekreacyjne i system fotowoltaiczny dla ekologicznej i dostępnej oferty,POMORSKIE Rumia Krakowska 5 84-230,Nazwa: Aster Aleksandra Bojanowska<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Rumia<br>Grantobiorca Ulica: Krakowska<br>Grantobiorca Nr budynku: 5<br>Grantobiorca Kod pocztowy: 84-230<br>Wartość wsparcia: 426351.97,84-230,Rumia,5,Krakowska,POMORSKIE,Aster Aleksandra Bojanowska,426351.97,Powiat wejherowski
Dywersyfikacja działalności poprzez wprowadzenie nowych usług firmy HOTEL ROOMS & APARTMENTS POLARIS SC działającej w woj. pomorskim wraz z cyfrową transformacją i zastosowaniem OZE,,Nazwa: HOTEL ROOMS & APARTMENTS POLARIS SC Iwona Różycka Krzysztof Różycki<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Otrębusy<br>Grantobiorca Ulica: Natalińska<br>Grantobiorca Nr budynku: 14<br>Grantobiorca Kod pocztowy: 05-805<br>Wartość wsparcia: 463633.34,05-805,Otrębusy,14,Natalińska,POMORSKIE,HOTEL ROOMS & APARTMENTS POLARIS SC Iwona Różycka Krzysztof Różycki,463633.34,Powiat pruszkowski
"Dywersyfikacja działalności Ambasador DIBO Marek Kaliński poprzez uruchomienie wypożyczalni sprzętu rekreacyjnego i sportowego, w tym elektrycznych desek do pływania i rowerów elektrycznych, z systemem elektronicznego zamawiania oraz ładowarką solarną, wspierających cyfrową i zieloną transformację, w branży HoRe- Ca, Smołdziński Las, województwo pomorskie.",,Nazwa: Ambasador DIBO Marek KALIŃSKI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Brzeźce<br>Grantobiorca Ulica: Nowa<br>Grantobiorca Nr budynku: 20<br>Grantobiorca Kod pocztowy: 72-223<br>Wartość wsparcia: 419918.3,72-223,Brzeźce,20,Nowa,POMORSKIE,Ambasador DIBO Marek KALIŃSKI,419918.3,
"Rozszerzenie działalności i uodpornienie na sytuacje kryzysowe przedsiębiorstwa PARLAMENT w Gdańsku poprzez wprowadzenie nowych cyfrowych usług konferencyjnych, audio wizualnych oraz prezentacyjnych",POMORSKIE Gdańsk 2 80-834,"Nazwa: PARLAMENT - TOMASZ BOŻYCZKO, TOMASZ CZERWIŃSKI, MARIUSZ KALISZCZAK, PIOTR ZBOIŃSKI -SPÓŁKA JAWNA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 80-834<br>Wartość wsparcia: 539725.93",80-834,Gdańsk,2,,POMORSKIE,"PARLAMENT - TOMASZ BOŻYCZKO, TOMASZ CZERWIŃSKI, MARIUSZ KALISZCZAK, PIOTR ZBOIŃSKI -SPÓŁKA JAWNA",539725.93,Gdansk
Zwiększenie odporności spółki J.M.S na sytuacje kryzysowe w wyniku dywersyfikacji działalności poprzez wprowadzenie całkowicie nowych w ofercie firmy usług gastronomicznych na terenie województwa pomorskiego czyli regionu nr 1 naboru konkursowego inwestycji KPO A.1.2.1.,POMORSKIE Gdańsk Długi Targ 44 80-830,Nazwa: J.M.S. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Długi Targ<br>Grantobiorca Nr budynku: 44<br>Grantobiorca Kod pocztowy: 80-830<br>Wartość wsparcia: 474314.4,80-830,Gdańsk,44,Długi Targ,POMORSKIE,J.M.S. SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,474314.4,Gdansk
Dywersyfikacja działalności firmy CITY TOUR GDAŃSK Leszek Nowak poprzez wprowadzenie nowej usługi wynajmu łodzi wycieczkowych w województwie pomorskim.,POMORSKIE Gdańsk Granitowa 6 80-030,Nazwa: CITY TOUR GDAŃSK Leszek Nowak<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Granitowa<br>Grantobiorca Nr budynku: 6<br>Grantobiorca Kod pocztowy: 80-030<br>Wartość wsparcia: 450994.33,80-030,Gdańsk,6,Granitowa,POMORSKIE,CITY TOUR GDAŃSK Leszek Nowak,450994.33,Gdansk
Zwiększenie odporności działalności gospodarczej na sytuacje kryzysowe w wyniku dywersyfikacji prowadzonej działalności GASTRONOMIQUE ART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (REGION 1: województwo pomorskie).,POMORSKIE Gdańsk Chmielna 10 80-748,Nazwa: GASTRONOMIQUE ART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Chmielna<br>Grantobiorca Nr budynku: 10<br>Grantobiorca Kod pocztowy: 80-748<br>Wartość wsparcia: 473646.72,80-748,Gdańsk,10,Chmielna,POMORSKIE,GASTRONOMIQUE ART SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,473646.72,Gdansk
Zwiększenie odporności przedsiębiorstwa ELIKSIR SPÓŁKA CYWILNA MATEUSZ TRZECIAK PAWEŁ WĄTOR na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 1: województwo pomorskie),POMORSKIE Gdańsk Mariana Hemara 1 80-280,Nazwa: ELIKSIR SPÓŁKA CYWILNA MATEUSZ TRZECIAK PAWEŁ WĄTOR<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Mariana Hemara<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 80-280<br>Wartość wsparcia: 336024.86,80-280,Gdańsk,1,Mariana Hemara,POMORSKIE,ELIKSIR SPÓŁKA CYWILNA MATEUSZ TRZECIAK PAWEŁ WĄTOR,336024.86,Gdansk
Dom w Retowie – usługi specjalizowanej agroturystyki dywersyfikujące działalność gastronomiczną,POMORSKIE Kraków Krupnicza 6 31-123,Nazwa: IWO NOWINA KONOPKA PLATFORMOWE SYSTEMY PARKINGOWE<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Kraków<br>Grantobiorca Ulica: Krupnicza<br>Grantobiorca Nr budynku: 6<br>Grantobiorca Kod pocztowy: 31-123<br>Wartość wsparcia: 539550,31-123,Kraków,6,Krupnicza,POMORSKIE,IWO NOWINA KONOPKA PLATFORMOWE SYSTEMY PARKINGOWE,539550.0,KrakÃ³w
Zwiększenie odporności firmy NagProt sp. z o.o. oraz dywersyfikacji jej przychodów poprzez wprowadzenie nowej usługi polegającej na wynajmie sprzętu rekreacyjnego.,POMORSKIE Grabowiec 44 83-212,"Nazwa: ""NAGPROT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Grabowiec<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 44<br>Grantobiorca Kod pocztowy: 83-212<br>Wartość wsparcia: 533740",83-212,Grabowiec,44,,POMORSKIE,"""NAGPROT"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",533740.0,Powiat starogardzki
"Dywersyfikacja działalności przedsiębiorstwa PUH MARKUS s.c. - Region 1, województwo pomorskie",POMORSKIE Kościerzyna 13 83-400,"Nazwa: P.U.H. ""MARKUS"" S.C. - Anna Hering, Marek Lipski<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Kościerzyna<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 13<br>Grantobiorca Kod pocztowy: 83-400<br>Wartość wsparcia: 465615.34",83-400,Kościerzyna,13,,POMORSKIE,"P.U.H. ""MARKUS"" S.C. - Anna Hering, Marek Lipski",465615.34,Powiat koscierski
"Wprowadzenie nowej usługi wynajmu łodzi żaglowych ramach działalności KR GROUP województwo pomorskie, Region 1",POMORSKIE Gdynia pl. Kaszubski 8 81-350,Nazwa: Radosław Korab KR GROUP<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: pl. Kaszubski<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 81-350<br>Wartość wsparcia: 540000,81-350,Gdynia,8,pl. Kaszubski,POMORSKIE,Radosław Korab KR GROUP,540000.0,Gdynia
Dywersyfikacja działalności firmy Jarosław Jezusek INTEGRA-plus poprzez wprowadzenie nowej usługi w woj. pomorskim,POMORSKIE Gdynia Antoniego Muchowskiego 8 81-122,Nazwa: INTEGRA-plus Jarosław Jezusek<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Antoniego Muchowskiego<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 81-122<br>Wartość wsparcia: 469260,81-122,Gdynia,8,Antoniego Muchowskiego,POMORSKIE,INTEGRA-plus Jarosław Jezusek,469260.0,Gdynia
"Dywersyfikacja działalności przedsiębiorstwa Biuro Podróży ""VERVINCI TRAVEL"" Piotr Werwiński poprzez wdrożenie nowego rodzaju usług w postaci wynajmu obiektu krótkookresowego zakwaterowania w wyposażonym w dostępny dla gości sprzęt do rekreacji sportowej, apartamencie w miejscowości pogórze - Region 1 (województwo Pomorskie)",POMORSKIE Bydgoszcz Juliusza Słowackiego 1 85-008,"Nazwa: Biuro Podróży ""VERVINCI TRAVEL"" Piotr Werwiński<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Bydgoszcz<br>Grantobiorca Ulica: Juliusza Słowackiego<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 85-008<br>Wartość wsparcia: 452286.9",85-008,Bydgoszcz,1,Juliusza Słowackiego,POMORSKIE,"Biuro Podróży ""VERVINCI TRAVEL"" Piotr Werwiński",452286.9,Bydgoszcz
"Dywersyfikacja działalności i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług mini SPA oraz przebudowę pokoi na większe apartamenty – Region 1 województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie",POMORSKIE Łeba Bałtycka 8 84-360,Nazwa: Usługi Gastronomiczne Mirosław Labuda<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Łeba<br>Grantobiorca Ulica: Bałtycka<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 84-360<br>Wartość wsparcia: 540000,84-360,Łeba,8,Bałtycka,POMORSKIE,Usługi Gastronomiczne Mirosław Labuda,540000.0,Powiat leborski
Wzrost konkurencyjności oraz unowocześnienie i dywersyfikacja oferty Hotelu Ara w Jastrzębiej Górze.,POMORSKIE Jastrzębia Góra Rozewska 4a 84-104,"Nazwa: Piotr Kowalewski AGENCJA IMPREZ ROZRYWKOWYCH ""ARA"" PIOTR KOWALEWSKI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Jastrzębia Góra<br>Grantobiorca Ulica: Rozewska<br>Grantobiorca Nr budynku: 4a<br>Grantobiorca Kod pocztowy: 84-104<br>Wartość wsparcia: 209608.56",84-104,Jastrzębia Góra,4a,Rozewska,POMORSKIE,"Piotr Kowalewski AGENCJA IMPREZ ROZRYWKOWYCH ""ARA"" PIOTR KOWALEWSKI",209608.56,Powiat pucki
Dywersyfikacja i rozszerzenie działalności przedsiębiorstwa Filip Lisakowski WYNAJEM POKOI w Regionie 1 - województwo pomorskie,POMORSKIE Władysławowo Kolejowa 1 84-120,Nazwa: Filip Lisakowski WYNAJEM POKOI<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Władysławowo<br>Grantobiorca Ulica: Kolejowa<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 84-120<br>Wartość wsparcia: 537224.76,84-120,Władysławowo,1,Kolejowa,POMORSKIE,Filip Lisakowski WYNAJEM POKOI,537224.76,Powiat pucki
NOWY EVENT PUB - dywersyfikacja działalności gospodarczej SZYMON PIWOROWICZ,POMORSKIE Gdańsk Zofii Nałkowskiej 3 80-286,Nazwa: GRUPA EVENTOWA SZYMON PIWOROWICZ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Zofii Nałkowskiej<br>Grantobiorca Nr budynku: 3<br>Grantobiorca Kod pocztowy: 80-286<br>Wartość wsparcia: 403183.13,80-286,Gdańsk,3,Zofii Nałkowskiej,POMORSKIE,GRUPA EVENTOWA SZYMON PIWOROWICZ,403183.13,Gdansk
"Dywersyfikacja działalności firmy ""ATP ACTIVITY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ poprzez wdrożenie nowej usługi wynajmu kabinowej łodzi rekreacyjnej z napędem elektrycznym w regionie województwa pomorskiego ,",POMORSKIE Gdynia Leszczynki 72 81-200,"Nazwa: ""ATP ACTIVITY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdynia<br>Grantobiorca Ulica: Leszczynki<br>Grantobiorca Nr budynku: 72<br>Grantobiorca Kod pocztowy: 81-200<br>Wartość wsparcia: 533849.4",81-200,Gdynia,72,Leszczynki,POMORSKIE,"""ATP ACTIVITY"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",533849.4,Gdynia
Rozszerzenie oferty Absynt Karl Kuellmer w województwie pomorskim o zewnętrzny ogródek gastronomiczny oraz organizację dyskotek,POMORSKIE Gdańsk Korzenna 33 80-851,Nazwa: Absynt Karl Kuellmer Spółka Jawna<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Korzenna<br>Grantobiorca Nr budynku: 33<br>Grantobiorca Kod pocztowy: 80-851<br>Wartość wsparcia: 530100,80-851,Gdańsk,33,Korzenna,POMORSKIE,Absynt Karl Kuellmer Spółka Jawna,530100.0,Gdansk
"Rozszerzenie działalności firmy DOBRA KAWA Małgorzata Speruda o produkcję wypieków bezglutenowych i bezcukrowych (Region 1, województwo pomorskie).",POMORSKIE Gdańsk Powstania Styczniowego 7 80-288,Nazwa: DOBRA KAWA MAŁGORZATA SPERUDA<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Powstania Styczniowego<br>Grantobiorca Nr budynku: 7<br>Grantobiorca Kod pocztowy: 80-288<br>Wartość wsparcia: 50378,80-288,Gdańsk,7,Powstania Styczniowego,POMORSKIE,DOBRA KAWA MAŁGORZATA SPERUDA,50378.0,Gdansk
"Dywersyfikacja działalności J&D Catering Janusz Ambroziak, poprzez wdrożenie nowej usługi dietetycznej kuchni wirtualnej z odbiorem osobistym - Region 1 - województwa kujawsko-pomorskie, pomorskie, zachodniopomorskie.",POMORSKIE Gdańsk Królowej Jadwigi 137 80-034,Nazwa: J&D Catering Janusz Ambroziak<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: Królowej Jadwigi<br>Grantobiorca Nr budynku: 137<br>Grantobiorca Kod pocztowy: 80-034<br>Wartość wsparcia: 239886,80-034,Gdańsk,137,Królowej Jadwigi,POMORSKIE,J&D Catering Janusz Ambroziak,239886.0,Gdansk
Siedlisko Integracji w zgodzie z naturą i tradycją na Kaszubach - szansą na dywersyfikację działalności i wprowadzenie nowych usług,POMORSKIE Gdańsk gen. Augusta Emila Fieldorfa 11 80-041,Nazwa: Idea Tour spółka z ograniczoną odpowiedzialnością<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Gdańsk<br>Grantobiorca Ulica: gen. Augusta Emila Fieldorfa<br>Grantobiorca Nr budynku: 11<br>Grantobiorca Kod pocztowy: 80-041<br>Wartość wsparcia: 503328,80-041,Gdańsk,11,gen. Augusta Emila Fieldorfa,POMORSKIE,Idea Tour spółka z ograniczoną odpowiedzialnością,503328.0,Gdansk
"Zwiększenie odporności przedsiębiorstwa ZHUG LEMAX na sytuacje kryzysowe poprzez dywersyfikację działalności w kierunku nowych usług związanych z cateringiem i ruchomymi placówkami gastronomicznymi działającymi w regionie 1, woj. pomorskie",POMORSKIE Stegna Kościuszki 1 82-103,Nazwa: Grzegorz Wincenty Lew Zakład Handlowo Usługowo Gastronomiczny LEMAX<br>Miejsce Realizacji Województwo: POMORSKIE<br>Grantobiorca Miejscowość: Stegna<br>Grantobiorca Ulica: Kościuszki<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 82-103<br>Wartość wsparcia: 540000,82-103,Stegna,1,Kościuszki,POMORSKIE,Grzegorz Wincenty Lew Zakład Handlowo Usługowo Gastronomiczny LEMAX,540000.0,Powiat kwidzynski
