name,address,description,Grantobiorca Kod pocztowy,Grantobiorca Miejscowość,Grantobiorca Nr budynku,Grantobiorca Ulica,Miejsce Realizacji Województwo,Nazwa,Wartość wsparcia
Dywersyfikacja i rozszerzenie działalności firmy FOLWARSKI EVENT GROUP Rafał Folwarski z siedzibą w woj. mazowieckim,MAZOWIECKIE Zalesie Zdrojowa 4 96-321,Nazwa: FOLWARSKI EVENT GROUP Rafał Folwarski<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Zalesie<br>Grantobiorca Ulica: Zdrojowa<br>Grantobiorca Nr budynku: 4<br>Grantobiorca Kod pocztowy: 96-321<br>Wartość wsparcia: 526050,96-321,Zalesie,4,Zdrojowa,MAZOWIECKIE,FOLWARSKI EVENT GROUP Rafał Folwarski,526050
"Dywersyfikacja i rozszerzenie działalności firmy Maciej ZAWIŚLAK ""MAZAW"" z siedzibą w woj. mazowieckim",MAZOWIECKIE Warszawa Freta 20 00-227,"Nazwa: Maciej ZAWIŚLAK ""MAZAW""<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Freta<br>Grantobiorca Nr budynku: 20<br>Grantobiorca Kod pocztowy: 00-227<br>Wartość wsparcia: 511200",00-227,Warszawa,20,Freta,MAZOWIECKIE,"Maciej ZAWIŚLAK ""MAZAW""",511200
Dywersyfikacja i uodpornienie działalności GOSPODA PODLASKA C. KINDZIUK SPÓŁKA JAWNA poprzez wdrożenie usługi wynajmu łodzi żaglowych w województwie podlaskim (region nr 2),PODLASKIE Białystok pl. Rynek Kościuszki 18 15-421,Nazwa: GOSPODA PODLASKA C. KINDZIUK SPÓŁKA JAWNA<br>Miejsce Realizacji Województwo: PODLASKIE<br>Grantobiorca Miejscowość: Białystok<br>Grantobiorca Ulica: pl. Rynek Kościuszki<br>Grantobiorca Nr budynku: 18<br>Grantobiorca Kod pocztowy: 15-421<br>Wartość wsparcia: 538794,15-421,Białystok,18,pl. Rynek Kościuszki,PODLASKIE,GOSPODA PODLASKA C. KINDZIUK SPÓŁKA JAWNA,538794
"Rozszerzenie działalności firmy KARATON ANNA SZOTA-DOLIŃSKA o usługę organizacją targów, wystaw i kongresów w plenerze lub w pomieszczeniach zamkniętych o powierzchni przekraczającej 1100 mkw., co doprowadzi do zwiększenia odporności firmy na wstrząsy gospodarcze, społeczne i środowiskowe - region 2 - województwa mazowieckie, podlaskie, warmińsko-mazurskie",MAZOWIECKIE Jesionka Jesionowa 12 05-152,Nazwa: KARATON ANNA SZOTA-DOLIŃSKA<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Jesionka<br>Grantobiorca Ulica: Jesionowa<br>Grantobiorca Nr budynku: 12<br>Grantobiorca Kod pocztowy: 05-152<br>Wartość wsparcia: 527363.76,05-152,Jesionka,12,Jesionowa,MAZOWIECKIE,KARATON ANNA SZOTA-DOLIŃSKA,527363.76
"Rozszerzenie i dywersyfikacja działalności, zwiększenie konkurencyjności i innowacyjności firmy poprzez wprowadzenie nowych usług i pozyskiwanie nowych klientów. Wzmocnienie odporności na kryzysy dzięki zielonej transformacji oraz zastosowaniu nowoczesnych technologii cyfrowych, podnoszenie kompetencji pracowników oraz skorzystanie z usług doradczych w zakresie dywersyfikacji. Dostosowanie do aktualnych trendów i potrzeb rynku. Projekt realizowany na terenie województwa mazowieckiego",MAZOWIECKIE Nowy Dwór Mazowiecki Przejazd 32 05-100,"Nazwa: DOM BANKIETOWY ""RELAX"" BOGDAN ŚWIĄTEK<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Nowy Dwór Mazowiecki<br>Grantobiorca Ulica: Przejazd<br>Grantobiorca Nr budynku: 32<br>Grantobiorca Kod pocztowy: 05-100<br>Wartość wsparcia: 445427.95",05-100,Nowy Dwór Mazowiecki,32,Przejazd,MAZOWIECKIE,"DOM BANKIETOWY ""RELAX"" BOGDAN ŚWIĄTEK",445427.95
"Nowa, komplementarna usługa czarteru jachtu żaglowego z pomocniczym napędem elektrycznym sposobem dywersyfikacji działalności J Holiday sp. z o.o. i drogą do budowy własnych aktywów i usług. celem ograniczenia podatności na kryzysy oraz szansą na rozwój mikroregionu Jeziora Włocławskiego w województwie mazowieckim",MAZOWIECKIE Ciechanów Bolesława Leśmiana 5 06-400,Nazwa: J HOLIDAY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Ciechanów<br>Grantobiorca Ulica: Bolesława Leśmiana<br>Grantobiorca Nr budynku: 5<br>Grantobiorca Kod pocztowy: 06-400<br>Wartość wsparcia: 539940.5,06-400,Ciechanów,5,Bolesława Leśmiana,MAZOWIECKIE,J HOLIDAY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,539940.5
"Dywersyfikacja działalności firmy R-Tech Rafał Tatarek poprzez wprowadzenie nowej usługi kompleksowej obsługi realizacji multimediów wydarzeń (targów, wystaw, kongresów i innych imprez) – pre-produkcji, oprawy audio, wizualnej, transmisji i postprodukcji wydarzenia (region 2 - województwo mazowieckie)",MAZOWIECKIE Warszawa Juliusza Słowackiego 11 05-075,Nazwa: R-TECH RAFAŁ TATAREK<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Juliusza Słowackiego<br>Grantobiorca Nr budynku: 11<br>Grantobiorca Kod pocztowy: 05-075<br>Wartość wsparcia: 539783.04,05-075,Warszawa,11,Juliusza Słowackiego,MAZOWIECKIE,R-TECH RAFAŁ TATAREK,539783.04
Dywersyfikacja działalności spółki Herbowy Gród Sp. z o.o. w zakresie wejścia na rynek wynajmu i dzierżawy sprzętu rekreacyjnego i sportowego na terenie województwa mazowieckiego poprzez niezbędne zakupy inwestycyjne oraz realizację usługi szkoleniowej i doradczej.,MAZOWIECKIE Dzierżenin 9 06-114,"Nazwa: ""HERBOWY GRÓD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Dzierżenin<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 9<br>Grantobiorca Kod pocztowy: 06-114<br>Wartość wsparcia: 506582.38",06-114,Dzierżenin,9,,MAZOWIECKIE,"""HERBOWY GRÓD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ""",506582.38
"Dywersyfikacja działalności poprzez nową usługę sprzedaży i obsługi klientów hotelu w ACTIVE REVITAL sp. z o. o. bez kontaktu z personelem recepcji oraz nowej usługi związanej z poprawą kondycji fizycznej, a także nowej usługi wypożyczania sprzętu rekreacyjnego (kajaków i rowerów) poprzez wsparcie niniejszych działań komponentem doradczym i szkoleniowym w województwie mazowieckim, Region 2.",MAZOWIECKIE Warszawa Anieli Krzywoń 2 01-391,Nazwa: ACTIVE REVITAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Anieli Krzywoń<br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 01-391<br>Wartość wsparcia: 413522.63,01-391,Warszawa,2,Anieli Krzywoń,MAZOWIECKIE,ACTIVE REVITAL SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,413522.63
Czarter jachtów na Zegrzu jako dywersyfikacja i uodpornienie na przyszłe kryzysy działalności gastronomicznej - Region 2,MAZOWIECKIE Warszawa Fabryczna 2 00-446,Nazwa: ANOVI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Fabryczna<br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 00-446<br>Wartość wsparcia: 539861.4,00-446,Warszawa,2,Fabryczna,MAZOWIECKIE,ANOVI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,539861.4
"Dywersyfikacja działalności Wlazło Krzysztof Przedsiębiorstwo Handlowo-Usługowe ""ARKADIA"" Obejmująca poszerzenie bazy usługowej",MAZOWIECKIE Przytyk Tomaszowska 17 26-650,"Nazwa: Wlazło Krzysztof Przedsiębiorstwo Handlowo-Usługowe ""ARKADIA""<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Przytyk<br>Grantobiorca Ulica: Tomaszowska<br>Grantobiorca Nr budynku: 17<br>Grantobiorca Kod pocztowy: 26-650<br>Wartość wsparcia: 209306.14",26-650,Przytyk,17,Tomaszowska,MAZOWIECKIE,"Wlazło Krzysztof Przedsiębiorstwo Handlowo-Usługowe ""ARKADIA""",209306.14
Wzmocnienie odporności oraz potencjału rozwojowego DOROTA BOGUMIŁ USŁUGI HOTELARSKIE poprzez dywersyfikację działalności w obszarze wynajmu sprzętu rekreacyjnego i sportowego oraz działalności związanej z organizacją eventów na terenie województwa mazowieckiego (region 2) w ramach Inwestycji A1.2.1 KPO.,MAZOWIECKIE Stara Iwiczna Słoneczna 56A 05-515,Nazwa: Dorota Bogumił Usługi Hotelarskie<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Stara Iwiczna<br>Grantobiorca Ulica: Słoneczna<br>Grantobiorca Nr budynku: 56A<br>Grantobiorca Kod pocztowy: 05-515<br>Wartość wsparcia: 520704.9,05-515,Stara Iwiczna,56A,Słoneczna,MAZOWIECKIE,Dorota Bogumił Usługi Hotelarskie,520704.9
"Działania inwestycyjne ""PROMINENTIS"" Sp. z o. o. w zakresie budowania odporności i konkurencyjności w regionie 2 -województwo mazowieckie. Dywersyfikacja działalności w zakresie wprowadzenia nowej usługi EcoBox Catering: usługi cateringu pudełkowego dla obecnych i przyszłych klientów firmy.",MAZOWIECKIE Warszawa Foksal 3/5 00-366,"Nazwa: ""PROMINENTIS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Foksal<br>Grantobiorca Nr budynku: 3/5<br>Grantobiorca Kod pocztowy: 00-366<br>Wartość wsparcia: 402002.97",00-366,Warszawa,3/5,Foksal,MAZOWIECKIE,"""PROMINENTIS"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",402002.97
Rozszerzenie i dywersyfikacja działalności firmy poprzez wzmocnienie prowadzonej działalności i wprowadzenie nowego produktu/usługi w celu zwiększenia odporności na sytuacje kryzysowe i zwiększenia konkurencyjności przedsiębiorstwa w woj. mazowieckim,MAZOWIECKIE Moniochy 34 26-903,Nazwa: JERZY BIEŃ PRZEDSIĘBIORSTWO USŁUGOWO-PRODUKCYJNO-HANDLOWE<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Moniochy<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 34<br>Grantobiorca Kod pocztowy: 26-903<br>Wartość wsparcia: 539998.16,26-903,Moniochy,34,,MAZOWIECKIE,JERZY BIEŃ PRZEDSIĘBIORSTWO USŁUGOWO-PRODUKCYJNO-HANDLOWE,539998.16
"Wzmocnienie prowadzonej działalności firmy 2Loud poprzez wprowadzenie nowych usług obsługi eventów, zawodów sportowych oraz projekcji filmów z wykorzystaniem ekranu LED.",MAZOWIECKIE Warszawa Kolejowa 8A 01-210,Nazwa: 2LOUD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Kolejowa<br>Grantobiorca Nr budynku: 8A<br>Grantobiorca Kod pocztowy: 01-210<br>Wartość wsparcia: 365701,01-210,Warszawa,8A,Kolejowa,MAZOWIECKIE,2LOUD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,365701
"Zwiększenie odporności firmy Barinclusive Marcin Gwistka na sytuacje kryzysowe, poprzez dywersyfikację działalności, wprowadzenie nowej usługi w zakresie PKD 77.21.Z Wypożyczanie i dzierżawa sprzętu rekreacyjnego i sportowego. Zakup Jachtu zero emisyjnego, usługi doradczej i szkoleniowej. Realizacja Przedsięwzięcia- województwo mazowieckie, region 2.",MAZOWIECKIE Warszawa Kiprów 28 04-334,Nazwa: BARINCLUSIVE MARCIN GWISTKA<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Kiprów<br>Grantobiorca Nr budynku: 28<br>Grantobiorca Kod pocztowy: 04-334<br>Wartość wsparcia: 526014,04-334,Warszawa,28,Kiprów,MAZOWIECKIE,BARINCLUSIVE MARCIN GWISTKA,526014
Dywersyfikacja działalności restauracji Bella Napoli Partners Sp. z o.o. sp.k. w Ząbkach i w Warszawie w województwie mazowieckim,MAZOWIECKIE Warszawa Francuska 18 03-906,"Nazwa: ""BELLA NAPOLI PARTNERS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"" SPÓŁKA KOMANDYTOWA<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Francuska<br>Grantobiorca Nr budynku: 18<br>Grantobiorca Kod pocztowy: 03-906<br>Wartość wsparcia: 350115.35",03-906,Warszawa,18,Francuska,MAZOWIECKIE,"""BELLA NAPOLI PARTNERS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ"" SPÓŁKA KOMANDYTOWA",350115.35
"Dywersyfikacja i rozszerzenie działalności w firmie Cosmopolitan Events&Catering R. Barański, B. Ryszt spółka cywilna w województwie mazowieckim",MAZOWIECKIE Warszawa Szarych Szeregów 11 01-210,"Nazwa: Cosmopolitan Events&Catering R.Barański, B.Ryszt spółka cywilna<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Szarych Szeregów<br>Grantobiorca Nr budynku: 11<br>Grantobiorca Kod pocztowy: 01-210<br>Wartość wsparcia: 503550",01-210,Warszawa,11,Szarych Szeregów,MAZOWIECKIE,"Cosmopolitan Events&Catering R.Barański, B.Ryszt spółka cywilna",503550
"Dywersyfikacja i synergiczne połączenie działań, poprzez wprowadzenie ruchomej placówki gastronomicznej oraz mobilnego salonu poprawy kondycji fizycznej, zapewniające zwiększenie odporności na sytuacje kryzysowe i poszerzenie grupy klientów przedsiębiorstwa, region 2 - województwa mazowieckie, podlaskie, warmińsko-mazurskie.",MAZOWIECKIE Palmiry Wspólna 6 05-152,Nazwa: KREOMAG MIKOŁAJ KRZEMIEŃ<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Palmiry<br>Grantobiorca Ulica: Wspólna<br>Grantobiorca Nr budynku: 6<br>Grantobiorca Kod pocztowy: 05-152<br>Wartość wsparcia: 476927.68,05-152,Palmiry,6,Wspólna,MAZOWIECKIE,KREOMAG MIKOŁAJ KRZEMIEŃ,476927.68
Zwiększenie odporności przedsiębiorstwa Let’s Go Sp. z o.o. na sytuacje kryzysowe poprzez dywersyfikację działalności i zaangażowanie w nowe obszary działania w województwie mazowieckim,MAZOWIECKIE Warszawa Koncertowa 4 02-787,Nazwa: LET`S GO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Koncertowa<br>Grantobiorca Nr budynku: 4<br>Grantobiorca Kod pocztowy: 02-787<br>Wartość wsparcia: 538650,02-787,Warszawa,4,Koncertowa,MAZOWIECKIE,LET`S GO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,538650
"Dywersyfikacja działalności jako zwiększenie konkurencyjności firmy ""MONTE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ w branży HoReCa w województwie mazowieckim.",MAZOWIECKIE Warszawa al. Aleja Jana Pawła II 82 00-175,"Nazwa: ""MONTE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: al. Aleja Jana Pawła II<br>Grantobiorca Nr budynku: 82<br>Grantobiorca Kod pocztowy: 00-175<br>Wartość wsparcia: 375910.08",00-175,Warszawa,82,al. Aleja Jana Pawła II,MAZOWIECKIE,"""MONTE"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",375910.08
Dywersyfikacja usług w celu podniesienia odporności przedsiębiorstwa na przyszłe kryzysy,MAZOWIECKIE Warszawa Samolotowa 4 03-984,Nazwa: PRESTIGE KAMIL EJMOCKI<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Samolotowa<br>Grantobiorca Nr budynku: 4<br>Grantobiorca Kod pocztowy: 03-984<br>Wartość wsparcia: 261555.68,03-984,Warszawa,4,Samolotowa,MAZOWIECKIE,PRESTIGE KAMIL EJMOCKI,261555.68
Rozszerzenie i dywersyfikacja działalności Avantador Sp. z o.o. poprzez inwestycje i rozwój usług turystycznych - działania na rzecz zwiększenia odporności,MAZOWIECKIE Warszawa Kopalniana 14A 01-321,Nazwa: AVANTADOR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Kopalniana<br>Grantobiorca Nr budynku: 14A<br>Grantobiorca Kod pocztowy: 01-321<br>Wartość wsparcia: 539904.15,01-321,Warszawa,14A,Kopalniana,MAZOWIECKIE,AVANTADOR SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,539904.15
Dywersyfikacja usług w obszarze branży HoReCa,MAZOWIECKIE Warszawa Długa 29 00-238,Nazwa: KOURTIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Długa<br>Grantobiorca Nr budynku: 29<br>Grantobiorca Kod pocztowy: 00-238<br>Wartość wsparcia: 509289.63,00-238,Warszawa,29,Długa,MAZOWIECKIE,KOURTIS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,509289.63
Rozwój i dywersyfikacja firmy Black Ball Events Michał Nowak,MAZOWIECKIE Radom Dionizego Czachowskiego 14 26-600,Nazwa: Black Ball Events Michał Nowak<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Radom<br>Grantobiorca Ulica: Dionizego Czachowskiego<br>Grantobiorca Nr budynku: 14<br>Grantobiorca Kod pocztowy: 26-600<br>Wartość wsparcia: 124573.26,26-600,Radom,14,Dionizego Czachowskiego,MAZOWIECKIE,Black Ball Events Michał Nowak,124573.26
Rozszerzenie działalności Akademii Sportu i Rekreacji Let’s Go w województwie warmińsko-mazurskim celem pozyskania szerszej grupy odbiorców i zwiększenia odporności na sytuacje kryzysowe,WARMIŃSKO-MAZURSKIE Iława Melchiora Wańkowicza 16 14-200,"Nazwa: SŁAWOMIR BANACKI Akademia Sportu i Rekreacji ""LET'S GO""<br>Miejsce Realizacji Województwo: WARMIŃSKO-MAZURSKIE<br>Grantobiorca Miejscowość: Iława<br>Grantobiorca Ulica: Melchiora Wańkowicza<br>Grantobiorca Nr budynku: 16<br>Grantobiorca Kod pocztowy: 14-200<br>Wartość wsparcia: 538650",14-200,Iława,16,Melchiora Wańkowicza,WARMIŃSKO-MAZURSKIE,"SŁAWOMIR BANACKI Akademia Sportu i Rekreacji ""LET'S GO""",538650
Rozszerzenie oferty Pizzerii Voyage - Region 2,MAZOWIECKIE Małkinia Górna Przedszkolna 6 07-320,Nazwa: PIZZERIA IWONA KRUSZEWSKA I WOJCIECH KRUSZEWSKI S.C.<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Małkinia Górna<br>Grantobiorca Ulica: Przedszkolna<br>Grantobiorca Nr budynku: 6<br>Grantobiorca Kod pocztowy: 07-320<br>Wartość wsparcia: 442664.1,07-320,Małkinia Górna,6,Przedszkolna,MAZOWIECKIE,PIZZERIA IWONA KRUSZEWSKA I WOJCIECH KRUSZEWSKI S.C.,442664.1
"""Dywersyfikacja działalności MŚP poprzez wprowadzenie usług cateringowych oraz modernizację infrastruktury technologicznej i energetycznej w ""Toyomar"" w regionie mazowieckim",MAZOWIECKIE Kozienice Jana Kochanowskiego 5A 26-900,Nazwa: TOYOMAR S.C. MAREK I IRENA JĘDRYSZEK<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Kozienice<br>Grantobiorca Ulica: Jana Kochanowskiego<br>Grantobiorca Nr budynku: 5A<br>Grantobiorca Kod pocztowy: 26-900<br>Wartość wsparcia: 391696.32,26-900,Kozienice,5A,Jana Kochanowskiego,MAZOWIECKIE,TOYOMAR S.C. MAREK I IRENA JĘDRYSZEK,391696.32
Dywersyfikacja przedsiębiorstwa MAREK GRABOWIEC PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE MAGRA na terenie województwa mazowieckiego poprzez wprowadzenie do oferty nowych usług.,MAZOWIECKIE Siedlce Łukowska 16 08-110,Nazwa: MAREK GRABOWIEC PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE MAGRA<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Siedlce<br>Grantobiorca Ulica: Łukowska<br>Grantobiorca Nr budynku: 16<br>Grantobiorca Kod pocztowy: 08-110<br>Wartość wsparcia: 523964.63,08-110,Siedlce,16,Łukowska,MAZOWIECKIE,MAREK GRABOWIEC PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE MAGRA,523964.63
Zwiększenie odporności na COVID poprzez dywersyfikacje działalności: Wdrożenie kompleksowych usług organizacji spotkań oraz rozwój działalności cateringowej z dostawą posiłków dla biurowców i osób niepełnosprawnych we współpracy z platformą Lunchspot - wirtualna stołówka w Regionie nr 2 (województwo mazowieckie),MAZOWIECKIE Warszawa Tytusa Chałubińskiego 8 00-613,"Nazwa: ""ART-MERITUM"" MACIEJA I MACIEJA SPÓŁKA JAWNA<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Tytusa Chałubińskiego<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 00-613<br>Wartość wsparcia: 515347.23",00-613,Warszawa,8,Tytusa Chałubińskiego,MAZOWIECKIE,"""ART-MERITUM"" MACIEJA I MACIEJA SPÓŁKA JAWNA",515347.23
"Dywersyfikacja działalności kuchni Sali Bankietowej Bianco w Barczącej, unowocześnienie bazy usługowej i wprowadzenie nowej usługi kateringu przemysłowego w woj. mazowieckim.",MAZOWIECKIE Barcząca Prosta 3 05-300,Nazwa: SALA BANKIETOWA BIANCO BEATA GRYGLAS<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Barcząca<br>Grantobiorca Ulica: Prosta<br>Grantobiorca Nr budynku: 3<br>Grantobiorca Kod pocztowy: 05-300<br>Wartość wsparcia: 346936.8,05-300,Barcząca,3,Prosta,MAZOWIECKIE,SALA BANKIETOWA BIANCO BEATA GRYGLAS,346936.8
"Dywersyfikacja działalności UNIVERSUM, PAWEŁ BERENT i uodpornienie na przyszłe kryzysy poprzez wprowadzenie do oferty nowych usług w zakresie wypożyczania i dzierżawy sprzętu rekreacyjnego i sportowego wraz z organizacją eventów (targów i wystaw) - Region 2 - województwo mazowieckie",MAZOWIECKIE Mława Długa 22 06-500,"Nazwa: UNIVERSUM, PAWEŁ BERENT<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Mława<br>Grantobiorca Ulica: Długa<br>Grantobiorca Nr budynku: 22<br>Grantobiorca Kod pocztowy: 06-500<br>Wartość wsparcia: 503787.54",06-500,Mława,22,Długa,MAZOWIECKIE,"UNIVERSUM, PAWEŁ BERENT",503787.54
"Rozszerzenie i dywersyfikacja działalności przedsiębiorstwa ""PIKNIK"" - Maciej Klimek polegające na uruchomieniu PAPA'S CAFE - pierwszej śniadaniowni w Grodzisku Mazowieckim.",MAZOWIECKIE Grodzisk Mazowiecki W. Bartniaka 26 05-825,"Nazwa: ""PIKNIK"" - MACIEJ KLIMEK<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Grodzisk Mazowiecki<br>Grantobiorca Ulica: W. Bartniaka<br>Grantobiorca Nr budynku: 26<br>Grantobiorca Kod pocztowy: 05-825<br>Wartość wsparcia: 539983.95",05-825,Grodzisk Mazowiecki,26,W. Bartniaka,MAZOWIECKIE,"""PIKNIK"" - MACIEJ KLIMEK",539983.95
Zwiększenie odporności Dworu pod Kasztanowcami poprzez dywersyfikację działalności o nową usługę (catering) w województwie mazowieckim,MAZOWIECKIE Wiejca 74 05-085,Nazwa: DWÓR POD KASZTANOWCAMI GRAŻYNA URBAŃSKA-KLECHA<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Wiejca<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 74<br>Grantobiorca Kod pocztowy: 05-085<br>Wartość wsparcia: 414605.52,05-085,Wiejca,74,,MAZOWIECKIE,DWÓR POD KASZTANOWCAMI GRAŻYNA URBAŃSKA-KLECHA,414605.52
Dywersyfikacja działalności Cukierni z Klonowej poprzez wprowadzenie usług cateringowych – Region 2,MAZOWIECKIE Siedlce Józefa Piłsudskiego 19 08-110,Nazwa: DARIUSZ GAŁACHOWSKI Cukiernia z Klonowej<br>Miejsce Realizacji Województwo: MAZOWIECKIE<br>Grantobiorca Miejscowość: Siedlce<br>Grantobiorca Ulica: Józefa Piłsudskiego<br>Grantobiorca Nr budynku: 19<br>Grantobiorca Kod pocztowy: 08-110<br>Wartość wsparcia: 265410,08-110,Siedlce,19,Józefa Piłsudskiego,MAZOWIECKIE,DARIUSZ GAŁACHOWSKI Cukiernia z Klonowej,265410
